text,class
Mengejek,Aman
Menghina,Aman
Berkata kasar,Aman
Menyindir kekurangan dan kelemahan,Aman
Penampilan,Aman
Menghina fisik,Sedang
Meninju,Sedang
Menendang,Sedang
Melukai,Sedang
Memar,Sedang
Melukai,Sedang
Komentar penampilan seksual,Sedang
Mengancam,Sedang
Menipu,Sedang
Mengisolasi menutup pintu,Sedang
Menendang pintu di wc,Sedang
Mengejek penampilan seksual,Sedang
Menggunakan kata-kata kasar,Sedang
Merendahkan orang lain,Sedang
Menyindir,Sedang
Menajuhkan diri,Sedang
Mengucilkan,Sedang
Lelucon dan ejekan,Sedang
Pukulan sampai luka,Parah
Pukulan berulang,Parah
Mendong senjata,Parah
Menggunakan senjata,Parah
"Menggunakan pisau, silent, da",Parah
Mencemooh,Aman
Komentar kritis,Aman
Masalah Personal,Aman
Ditendang,Parah
dipukul dianiaya menggunakan kayu yang mengakibatkan luka pada bagian kepala,Parah
"Selama periode waktu yang lama, mengalami serangkaian tindakan pelecehan, termasuk tindakan fisik seperti tendangan dan pukulan, serta tindakan seksual yang melibatkan ancaman senjata dan kekerasan fisik yang menyebabkan luka di berbagai bagian tubuh.",Parah
"Selama ini telah menjadi korban pembulian yang melibatkan tindakan fisik seperti tendangan dan pukulan, tindakan seksual dengan ancaman senjata serta mengalami kekerasan fisik yang menyebabkan luka di tangan sekujur tubuh dan diancam senjata oleh teman-teman saya.",Parah
juga mengalami ejekan,Aman
Beberapa minggu terakhir mengalami perlakuan diskriminatif dari seorang senior di kampus sehingga dijauhkan oleh beberapa anggota kelompok studi dan hal ini mempengaruhi kehadiran di kelas serta aktivitas sosial di kampus. Merasa terisolasi dan terganggu secara emosional.,Parah
Pada suatu waktu juga menjadi sasaran intimidasi dan ancaman senjata dari teman-teman saya,Parah
"Beberapa bulan yang lalu, mengalami situasi di mana seorang teman sekelas secara verbal mencemooh dan mengancam, karena perbedaan pendapat dalam proyek kelompok. Komentar tersebut mempengaruhi kepercayaan diri dan membuat merasa terintimidasi di lingkungan kelas.",Parah
tidak pernah,Aman
"pernah mengalami beberapa komentar kurang menyenangkan di kelas, terutama saat diskusi kelompok. Meskipun tidak menyenangkan, komentarnya tidak secara langsung mengancam atau menyebabkan rasa takut yang mendalam. Mencoba untuk tidak terlalu terpengaruh dan tetap fokus pada pembelajaran.",Sedang
"Pada Saat Kuliah, Hal yg terjadi pada tiap kelas yg masuk, Hal yang dpt perilaku terasa membuat kejelekan pada diri saya, Membuat merasa begitu emosional dan terjadi kehakiman pada masing² pihak, Namun Tidak sekali di buat, Melainkan setiap hari lakukan, Maka dari itu saya butuh untuk lindungi diri saya hindari dari perbuatan hal yang anggap sepele menjadi masalah serius pada lingkungan kita masing2",Parah
sering di katakan kekurangan diri sendiri dari saudara sendiri,Sedang
tidak ingat karena sudah lama,Aman
saya tidak mengingat nya lagi karena sudah terjadi cukup lam,Aman
Jadi pernah terlibat dalam pertengkaran dan terkena serangan lalu membalas dengan cara mereka lakukan ke saya,Aman
membalas,Aman
membalas dengan cara mereka lakukan ke saya,Aman
"lumayan sering mengalami kekerasan sosial, seperti dijauhkan dari teman - teman, yang mana saya sendiri gatau apa salahnya, mereka tidak mau berteman dan juga saya takut untuk bertemu mereka karena takut dihina",Parah
Biasa biasa saja,Aman
direndahkan hargadiri setiap bertemu dengan pelaku namun pada saat bertemu bertatapan berdua saja sewaktu ada banyak orang pelaku tidak melakukan hal tersebut,Sedang
Saya sering kali diejek dihina direndahkan,Parah
Ongkos taksi dan biaya SPP,Aman
"sering direndahkan tanpa sepengetahuan saya, saya hanya mendengar dari teman saja",Sedang
Mencemooh dibelakang saya,Sedang
aku mudah merasa tersinggung jika ada orang yang membicarakan saya,Sedang
aku sering merasa kesal pada saat dosen memberikan arahan yang tidak sesuai dengan apa yang aku inginkan,Sedang
